Return,steps
4.0,426.0
-8.8,250.0
0.0,315.0
-9.8,250.0
-1.0,360.0
1.0,358.0
-8.8,235.0
-1.0,326.0
2.0,396.0
-9.8,245.0
-1.0,283.0
-8.8,230.0
-7.8,250.0
-1.0,320.0
7.0,357.0
-4.0,266.0
10.0,402.0
-9.8,250.0
0.0,333.0
4.0,398.0
0.0,318.0
10.0,430.0
-8.8,250.0
-7.8,235.0
-7.8,250.0
-7.8,250.0
-8.8,235.0
-7.8,235.0
-8.8,250.0
1.0,278.0
-8.8,245.0
-7.8,250.0
-3.0,301.0
0.0,280.0
-7.8,235.0
6.0,366.0
-7.8,235.0
0.0,344.0
10.0,411.0
-8.8,238.0
6.0,352.0
-4.0,259.0
-8.8,250.0
-7.8,235.0
19.0,481.0
-8.8,250.0
-8.8,230.0
-7.8,255.0
-9.8,250.0
2.0,266.0
10.0,423.0
-8.8,235.0
-8.8,230.0
1.0,358.0
15.0,495.0
2.0,306.0
4.0,510.0
11.0,492.0
-8.8,250.0
8.0,320.0
1.0,306.0
5.0,332.0
1.0,297.0
-7.8,270.0
0.0,252.0
1.0,346.0
13.0,387.0
2.0,355.0
7.0,375.0
2.0,340.0
0.0,289.0
-8.8,250.0
-8.8,250.0
-8.8,305.0
0.0,270.0
-7.8,255.0
0.0,306.0
-9.8,245.0
6.0,350.0
-7.8,235.0
-7.8,255.0
2.0,260.0
8.0,394.0
4.0,330.0
-8.8,245.0
-5.0,281.0
7.0,359.0
-9.8,245.0
2.0,313.0
5.0,481.0
-7.8,235.0
-3.0,289.0
2.0,353.0
9.0,360.0
-3.0,387.0
-9.8,230.0
8.0,430.0
4.0,464.0
-3.0,245.0
2.0,319.0
1.0,333.0
7.0,370.0
6.0,340.0
-1.0,290.0
-2.0,266.0
-7.8,255.0
-1.0,427.0
-9.8,230.0
-8.8,250.0
-7.8,255.0
1.0,337.0
3.0,291.0
7.0,427.0
-9.8,230.0
2.0,335.0
-1.0,385.0
4.0,294.0
-3.0,251.0
-9.8,250.0
-9.8,246.0
0.0,335.0
-9.8,249.0
-9.8,250.0
3.0,260.0
-7.8,250.0
6.0,351.0
-9.8,250.0
-9.8,245.0
-9.8,250.0
6.0,412.0
4.599999999999998,260.0
-8.8,250.0
-2.0,306.0
3.0,495.0
8.0,416.0
1.0,371.0
-8.8,250.0
-7.8,235.0
-8.8,250.0
6.0,446.0
-9.8,230.0
11.0,387.0
21.0,512.0
-8.8,251.0
2.0,289.0
-8.8,245.0
-7.8,235.0
-1.0,303.0
-8.8,258.0
-7.8,235.0
2.0,375.0
-9.8,250.0
2.0,268.0
0.0,326.0
2.0,271.0
-9.8,245.0
2.0,255.0
-7.8,250.0
-8.8,250.0
